COD
Buffing
Cameron
Challenge Cooker
Chemical Stores
Cleaners Production
Compressors
Contrasure
Conveyor
Conveyor Green Fleshing
Conveyor Lime Fleshing
Conveyor Samming
Coredover
Cosmos
Craftcor
Creche
Cyclone
Daff Unit
Dahl Milling
Diesel Tank
Drains
Droxford Flats
Drum 1 Wetblue
Drum 2 Wetblue
Drum 3 Wetblue
Drum 4 Wetblue
Drum 5 Wetblue
Drum 6 Wetblue
Drum P1 Veg
Drum P2 Veg
Drumyard Wetblue
Drying Tunnel
Electrical
Excavator
Factory Water Pipes
Fat Pot
Fire Equipment
Ford Ranger
Forklifts
Front Loader
Generator 770KV
Gideon
Green Fleshing
Grinder Technician
Health and Safety
High Pressure Machines
Hot Water Tanks
HR Office
Ivan
Jurgen
Lab Office
Lalloo
Lamar
LFH Buildwork
LFH IT
LFH Stores
Lime Fleshing
Lime Splitting
Limeyard
Lucky
Main Boiler
Main Gate
Main Office
Maintenance
Mthoko
N3 Fire Howick
Nkanyiso
Paddle 1
Paddle 2
Paddle 3
Paddle 4
Paddle 5
Paddle 6
Paddle 7
Paddles
Pallet Delivery Factory
Petro House
Phase 1
Phase 2
Phase 3
Phillip / Ngobo
Poletto Shaving
Presser
Production General
Production Plastic
Production PPE
R&D Deparment
Retanning Drums
Riaan
Rizzi Shaving LW6
Rome Pump
Roto Press
RRC
Sakhiwo
Salting
Sammying Veg Plant
Sammying Wetblue
Sampling Drum
Samsetting Machine
Sawdust Delivery
Scales
Shaving
Shaving Machine Polletto 1800
Silflow
Smily
Splitting Shipment
Spray Booth
Spray Carousel
Staking Machine Coredover
Steelwork Factory
Stillclean
Stores Stock
Supper Press
Sutherlands
Tiaan
Tipper Bin
Toggeling Machine
Tomboni Press Alpe Spak
Tractor
Trolleys
Truck LFH
Turbo Vac
Veg Plant
Veg Plant Trollies
VW Caddy
Waste Removal
Water Mixing
Waterpipes
Wax Table
Wet Blue Splitting
Workshop
Wynand
